"","CEGS.pln_richness","CEGS.cegs_richness","CEGS.nb_richness","CEGS.SimSR","NB.pln_richness","NB.cegs_richness","NB.nb_richness","NB.SimSR","PLN.pln_richness","PLN.cegs_richness","PLN.nb_richness","PLN.SimSR"
"150",158.275521639764,171.501373421747,220.016431860875,171,NA,NA,NA,NA,158.815512281708,179.113183827784,196.504745608292,158
"230",210.853847311975,228.428877300377,266.922212880737,227,210.382449522875,223.660452850424,284.218216153112,281,212.909315334087,243.48612440696,NA,212
"878",245.664943235962,323.771431623559,NA,300,NA,NA,NA,NA,248.980709366857,365.503321452452,NA,248
"1053",117.085601482798,132.05731561523,188.017131303116,130,117.644396585697,128.596304308674,211.216339640671,189,119.729682835429,160.11078885982,165.913639577077,120
"1784",109.352165821649,150.054467929362,NA,133,NA,NA,NA,NA,111.662377442719,177.718128020694,NA,112
"2055",460.610256600586,748.558692704308,10965.3552624682,713,NA,NA,NA,NA,474.537942252403,900.32281842442,10927.3396960417,462
"2766",269.524981877107,342.593938427889,4472.74804294775,333,NA,NA,NA,NA,267.02709370434,368.74967426371,4857.13927472214,266
"2769",163.220869625988,193.557360516717,1096.87285663623,189,162.18535002388,182.900048021433,568.342448678547,384,165.281789245254,212.890989448653,899.286748048297,164
"2774",315.267610016336,379.167884532592,NA,339,NA,NA,NA,NA,315.851869602573,435.826918449405,NA,316
"3033",169.049950909744,209.217807461239,1861.62975143235,202,NA,NA,NA,NA,162.865570359257,215.301629804835,2587.64716221551,163
"3112",99.7905226003099,104.534984705265,113.238509082164,104,99.7810645805835,103.593549511122,112.294179656326,113,99.065982219928,106.178972350311,115.506849625009,99
