"","N","S","alpha","H","D","UniqueCounts","J","HD","sample.no","sample.name","eco","lat","long","form"
"1",462,55,16.2673207272386,21.1620360740629,11.3396869342988,18,0.761655865399603,0.623900134428956,"1","Moraballi Creek Sample Plot I","Neotropic","6.183343","-58.833344","trees"
"2",460,69,22.5127962718465,26.6789643423682,11.6138613861386,17,0.775576948519398,0.831676070729462,"2","Moraballi Creek Sample Plot II","Neotropic","6.183343","-58.833344","trees"
"3",603,79,24.3008517946619,34.9168353588461,21.0413865059124,21,0.813139147408759,0.506477817133796,"3","Moraballi Creek Sample Plot III","Neotropic","6.183343","-58.833344","trees"
"4",773,90,26.3848054209031,37.9511707288247,23.4647687952186,24,0.808100924042709,0.480800256588644,"4","Moraballi Creek Sample Plot IV","Neotropic","6.183343","-58.833344","trees"
"5",918,59,14.0698073478195,20.9984429076544,10.9220489399798,25,0.74663895294697,0.653664703137449,"5","Moraballi Creek Sample Plot V","Neotropic","6.183343","-58.833344","trees"
"6",327,24,5.96763319951433,7.22865699356936,3.91717498346439,14,0.622410245331349,0.612682537709942,"6","Shasha Forest Reserve Sample Plot 1","Afrotropic","7.15001","4.50001","trees"
"7",440,37,9.6253554369471,11.6735217009684,7.5719325754606,13,0.680525903408402,0.43287484578417,"7","Shasha Forest Reserve Sample Plot 2","Afrotropic","7.15001","4.50001","trees"
"8",265,50,18.2253716377566,19.6808402987472,9.69512195121951,12,0.761663616161056,0.708022721429564,"8","Okomu Forest Reserve Sample Plot 3","Afrotropic","6.3","5.2","trees"
"9",295,34,9.92776119138519,14.9019130032306,8.42365967365967,14,0.766084345412416,0.570445219786218,"9","Shasha Forest Reserve Sample Plot 4","Afrotropic","7.15001","4.50001","trees"
"22",473,35,8.72580753908874,14.535727095858,8.84602583405975,17,0.752840371818122,0.496641256689897,"22","Budongo Sample Plot 1","Afrotropic","1.75","31.5","trees"
"23",556,34,7.98627123454608,7.98897551094733,4.0409093290032,15,0.589293838687967,0.681592782066305,"23","Budongo Sample Plot 2","Afrotropic","1.75","31.5","trees"
"24",762,38,8.41221452314065,15.366391172471,10.3705916016882,20,0.751097737116014,0.393208663177706,"24","Budongo Sample Plot 3","Afrotropic","1.75","31.5","trees"
"25",778,58,14.4949872690966,15.019088478055,8.12682835018284,18,0.66724787178246,0.614151226665389,"25","Budongo Sample Plot 4","Afrotropic","1.75","31.5","trees"
"26",750,57,14.3349030690466,15.362508750647,7.021875,21,0.675709968418501,0.782899768111307,"26","Budongo Sample Plot 5","Afrotropic","1.75","31.5","trees"
"27",617,53,13.8886901931695,15.8342087132394,6.81474575055583,19,0.695710231927234,0.843083950872174,"27","Budongo Sample Plot 6","Afrotropic","1.75","31.5","trees"
"28",699,49,12.006071072051,11.9091112781819,6.07160456955126,18,0.636541148106367,0.673680846401997,"28","Budongo Sample Plot 7","Afrotropic","1.75","31.5","trees"
"29",548,31,7.11504686696088,7.62926959337484,4.67273577552611,14,0.591729669172894,0.490247393127731,"29","Budongo Sample Plot 8","Afrotropic","1.75","31.5","trees"
"30",593,11,1.91719087786639,4.24828803758538,3.07447628389266,9,0.603244063036499,0.323381514526778,"30","Budongo Sample Plot 9","Afrotropic","1.75","31.5","trees"
"31",349,25,6.1679224625865,7.94035020635484,5.45508444125045,11,0.643689751829748,0.375409282109011,"31","Budongo Sample Plot 10","Afrotropic","1.75","31.5","trees"
"32",562,80,25.500667799949,32.912810648923,18.4031053000233,22,0.797316459868643,0.581342546727158,"32","Budongo Sample Plot 11","Afrotropic","1.75","31.5","trees"
"33",543,105,38.766749338743,47.188785240648,27.020381931693,18,0.828145487615892,0.5575647959463,"33","Southern Bakundu Forest Reserve","Afrotropic","4.516677","9.316677","trees"
"34",102,18,6.34241016162239,14.9135605608083,14.5508474576271,9,0.934921570703538,0.0246216673776166,"34","Kade Plot 1","Afrotropic","6.15001","-0.916677","trees"
"35",94,18,6.61176956995323,14.3908779121158,14.1915584415584,10,0.922578391599509,0.0139472156347493,"35","Kade Plot 3","Afrotropic","6.15001","-0.916677","trees"
"36",102,22,8.62099611008104,16.544828192772,16.0467289719626,8,0.907808158387578,0.030568530645466,"36","Kade Plot 5","Afrotropic","6.15001","-0.916677","trees"
"37",111,24,9.41780005787781,16.0822754205731,12.6923076923077,8,0.874031060603585,0.236721643555257,"37","Kade Plot 7","Afrotropic","6.15001","-0.916677","trees"
"38",149,25,8.59421209838694,20.5259044052703,20.5708955223881,13,0.938740070249717,-0.00218952011693741,"38","Kade Plot 9","Afrotropic","6.15001","-0.916677","trees"
"39",112,16,5.10812386063754,6.85453486336031,4.25462012320328,8,0.694264692646602,0.476904976784452,"39","Kade Plot 11","Afrotropic","6.15001","-0.916677","trees"
"40",646,93,29.7919718875416,37.9333445625797,20.425,18,0.802151289683112,0.619070888303836,"40","Beni","Neotropic","-11.75001","-66.03334","trees"
"44",2282,51,9.25263043362568,11.7096280656505,6.61266931076449,26,0.625768191374974,0.571424013482566,"44","Omo Forest Reserve Plot A","Afrotropic","6.833343","4.491677","trees"
"45",2198,53,9.77960122843864,12.208647767519,6.63029915257495,25,0.630216767058837,0.610494609806786,"45","Omo Forest Reserve Plot C","Afrotropic","6.833343","4.491677","trees"
"46",421,60,19.1354652687689,23.3351450942827,14.3896484375,18,0.769344286831384,0.483451507692374,"46","Omo Forest Reserve Control Plot","Afrotropic","6.833343","4.491677","trees"
"47",620,89,28.4743671277772,45.5258023660184,30.7417494392823,24,0.85065461660916,0.392657602859363,"47","North Negros Forest Reserve","Indomalaya","10.683343","123.183342","trees"
"48",1980,91,19.6954171572933,23.4990814401076,12.3694528098187,32,0.699858048819811,0.641731382566406,"48","Uppangala","Indomalaya","12.50001","75.650009","trees"
"49",1062,72,17.4567070663892,29.5099693826265,17.0900624886246,27,0.791440822648947,0.546230997864327,"49","Fazenda Boa Fé","Neotropic","-22.416677","-42.966679","trees"
